Adapter Culture,Test Culture,F1 Score
arabic,arabic,0.24795741888250133
arabic,bengali,0.26100879599616794
arabic,chinese,0.2327603237464868
arabic,english,0.35086646332682186
arabic,german,0.37984784353598067
arabic,greek,0.36003890588154347
arabic,korean,0.37463234709962556
arabic,portuguese,0.26235610158601386
arabic,spanish,0.24856120812994334
arabic,turkish,0.31110875745283006
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",arabic,0.36099982452535523
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",bengali,0.4004105989669781
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",chinese,0.20493617819080795
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",english,0.33104935351352255
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",german,0.43503192401542856
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",greek,0.21387277898858556
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",korean,0.3746117811906047
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",portuguese,0.32625022791722513
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",spanish,0.335112934266548
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",turkish,0.38163807611690154
bengali,arabic,0.116148196744563
bengali,bengali,0.29021686976573063
bengali,chinese,0.19620017322295408
bengali,english,0.3465887450494068
bengali,german,0.28717058629390024
bengali,greek,0.35991207347028176
bengali,korean,0.32134149408240154
bengali,portuguese,0.30203493091914174
bengali,spanish,0.28507842298451574
bengali,turkish,0.22869940908909595
chinese,arabic,0.3416034472726535
chinese,bengali,0.48830102576120976
chinese,chinese,0.26854177007804203
chinese,english,0.4134898253652823
chinese,german,0.5612136945537433
chinese,greek,0.41364385917055624
chinese,korean,0.5333954156538822
chinese,portuguese,0.43700376112556605
chinese,spanish,0.39707026437286946
chinese,turkish,0.5231868127239007
english,arabic,0.2626720602472133
english,bengali,0.46810668258060195
english,chinese,0.23757143316860896
english,english,0.3989863776468176
english,german,0.4824743982576331
english,greek,0.4079185174675718
english,korean,0.45213390411448223
english,portuguese,0.5174926030127758
english,spanish,0.5036000805553579
english,turkish,0.5037462590926883
german,arabic,0.17900984338744894
german,bengali,0.5064887620021442
german,chinese,0.19727336725217337
german,english,0.3887622591177484
german,german,0.4185308953446925
german,greek,0.4656345940717355
german,korean,0.5096865467182609
german,portuguese,0.4457184291539445
german,spanish,0.3479341650250413
german,turkish,0.4420480761585037
greek,arabic,0.33972701209047096
greek,bengali,0.4536777264586576
greek,chinese,0.30743319230699606
greek,english,0.4098556327574472
greek,german,0.5064697129726347
greek,greek,0.29109707948083535
greek,korean,0.44177895221245533
greek,portuguese,0.4276133919303174
greek,spanish,0.3695017752815641
greek,turkish,0.44859604059765384
korean,arabic,0.3948029899859457
korean,bengali,0.44035065896971143
korean,chinese,0.2167901096023641
korean,english,0.34384362088060333
korean,german,0.4111331832763604
korean,greek,0.40475466599896737
korean,korean,0.4559166954063017
korean,portuguese,0.2708348817437148
korean,spanish,0.3178387837903396
korean,turkish,0.4979725971219638
portuguese,arabic,0.338853868985913
portuguese,bengali,0.415316355492773
portuguese,chinese,0.2124015339966832
portuguese,english,0.34969418197374164
portuguese,german,0.5472565647468759
portuguese,greek,0.5028198345458317
portuguese,korean,0.6038857192611542
portuguese,portuguese,0.3182160275529077
portuguese,spanish,0.32080140013104536
portuguese,turkish,0.5107744346127016
spanish,arabic,0.14310391884906834
spanish,bengali,0.3881614024218889
spanish,chinese,0.19597236639221177
spanish,english,0.3694672863876947
spanish,german,0.4163073719672948
spanish,greek,0.3622515567291792
spanish,korean,0.4450843953930869
spanish,portuguese,0.27927708124267553
spanish,spanish,0.3237287283854252
spanish,turkish,0.29375020744949526
turkish,arabic,0.23902781088336744
turkish,bengali,0.35080288796617465
turkish,chinese,0.20506864460043767
turkish,english,0.3337975855922479
turkish,german,0.4384551036652489
turkish,greek,0.46939754527541455
turkish,korean,0.44386504412895017
turkish,portuguese,0.31832313277690816
turkish,spanish,0.36039441408383666
turkish,turkish,0.27299513382622875
