Adapter Culture,Test Culture,F1 Score
arabic,arabic,0.11694814108817624
arabic,bengali,0.20197413421623187
arabic,chinese,0.3173630107788582
arabic,english,0.1867495154418166
arabic,german,0.2573187040541805
arabic,greek,0.3639793472540953
arabic,korean,0.29915844011954934
arabic,portuguese,0.16854402324890802
arabic,spanish,0.20227812381353266
arabic,turkish,0.24374453137558505
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",arabic,0.280035920060915
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",bengali,0.3034467486762396
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",chinese,0.4277252546563648
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",english,0.2389735159214521
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",german,0.46084274686788973
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",greek,0.31418650730709313
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",korean,0.43320883835337964
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",portuguese,0.22880541670767016
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",spanish,0.3351882454015352
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",turkish,0.43502900997338834
bengali,arabic,0.11545303519285377
bengali,bengali,0.18302522186746253
bengali,chinese,0.2586301892032338
bengali,english,0.20507257645766733
bengali,german,0.2513336245424184
bengali,greek,0.3622186826874534
bengali,korean,0.2663222427743721
bengali,portuguese,0.1511709463654911
bengali,spanish,0.23130687703867173
bengali,turkish,0.22231337292809458
chinese,arabic,0.1940812259961223
chinese,bengali,0.21632054885054852
chinese,chinese,0.43219525670123304
chinese,english,0.22319262263953452
chinese,german,0.2911395627338479
chinese,greek,0.36663922555319517
chinese,korean,0.31735197710564406
chinese,portuguese,0.1523044124434006
chinese,spanish,0.19695384276616856
chinese,turkish,0.2584549532317321
english,arabic,0.19079493219588808
english,bengali,0.21177813433950157
english,chinese,0.309694371932242
english,english,0.20511637134871533
english,german,0.2955889168096556
english,greek,0.3959352589102997
english,korean,0.3459926012026118
english,portuguese,0.15221374238473576
english,spanish,0.2043205331474297
english,turkish,0.2483501146598348
german,arabic,0.14630554944590526
german,bengali,0.22993435582179833
german,chinese,0.35271787803184856
german,english,0.22083917947598466
german,german,0.39239315809533815
german,greek,0.35846019066135476
german,korean,0.35668566192212287
german,portuguese,0.15824800596079888
german,spanish,0.24965778723557827
german,turkish,0.2665138031589808
greek,arabic,0.2184995915256831
greek,bengali,0.2262818705704539
greek,chinese,0.3251020387361427
greek,english,0.19383439494830065
greek,german,0.39381641894101416
greek,greek,0.3660110528949242
greek,korean,0.4139183525018563
greek,portuguese,0.17680390630775278
greek,spanish,0.26763155249741155
greek,turkish,0.22488663106723003
korean,arabic,0.1287232791040053
korean,bengali,0.1974566505497266
korean,chinese,0.30215230730494147
korean,english,0.22521567322964653
korean,german,0.28146959360333423
korean,greek,0.3711505581802176
korean,korean,0.33632965158895584
korean,portuguese,0.1544379104032611
korean,spanish,0.24312501406063644
korean,turkish,0.22851690540571953
portuguese,arabic,0.23454368404212655
portuguese,bengali,0.23439490262879414
portuguese,chinese,0.23269124858720236
portuguese,english,0.2311454328662067
portuguese,german,0.32187355370288756
portuguese,greek,0.3896170441506298
portuguese,korean,0.42144702537653433
portuguese,portuguese,0.15871450100345258
portuguese,spanish,0.2105277846893422
portuguese,turkish,0.2589627785897183
spanish,arabic,0.27782490603336457
spanish,bengali,0.2934714309296805
spanish,chinese,0.34520819567542116
spanish,english,0.283902667727916
spanish,german,0.48214171228238795
spanish,greek,0.42127785410351826
spanish,korean,0.4705915708892312
spanish,portuguese,0.2493917422918137
spanish,spanish,0.4232095345208208
spanish,turkish,0.43181321758544977
turkish,arabic,0.24129032601834888
turkish,bengali,0.2881027655770266
turkish,chinese,0.2926998459087271
turkish,english,0.24496465969244197
turkish,german,0.39739041584953066
turkish,greek,0.35811192213076026
turkish,korean,0.4760267048236327
turkish,portuguese,0.20186960783998634
turkish,spanish,0.2797550821202753
turkish,turkish,0.3474068326584874
