Adapter,Test,F1
arabic,arabic,0.1372909842988814
arabic,bengali,0.3068485902340102
arabic,chinese,0.19727336725217337
arabic,english,0.3050249264031225
arabic,german,0.3569533008922046
arabic,greek,0.3602921879100691
arabic,korean,0.3862884813821461
arabic,portuguese,0.2575967061651302
arabic,spanish,0.2169328157020522
arabic,turkish,0.2814114727014637
bengali,arabic,0.23185367636476817
bengali,bengali,0.5478971140608745
bengali,chinese,0.21039886815839848
bengali,english,0.45456767440542656
bengali,german,0.43375467864481115
bengali,greek,0.491585157002872
bengali,korean,0.5530536649281835
bengali,portuguese,0.4215328640355776
bengali,spanish,0.39291576070519
bengali,turkish,0.34977216810546163
chinese,arabic,0.3997550763633895
chinese,bengali,0.45190821140112697
chinese,chinese,0.2297524785559832
chinese,english,0.44175555080834644
chinese,german,0.5843753659472316
chinese,greek,0.32220366117766464
chinese,korean,0.5016190038127787
chinese,portuguese,0.3921689195025403
chinese,spanish,0.3859717332880424
chinese,turkish,0.4686341760380413
english,arabic,0.3590139455792251
english,bengali,0.35240633957501827
english,chinese,0.2042326812147784
english,english,0.364324292020177
english,german,0.3599917216943405
english,greek,0.21438420450743698
english,korean,0.36994601625393725
english,portuguese,0.3320995495961069
english,spanish,0.3089748078016691
english,turkish,0.3787541753850932
german,arabic,0.11219059754632633
german,bengali,0.3251323932695453
german,chinese,0.19834300431315355
german,english,0.364421348746717
german,german,0.4713573746891179
german,greek,0.3624480497630184
german,korean,0.3833869320893266
german,portuguese,0.3727908318399788
german,spanish,0.30361624732238573
german,turkish,0.22939329113572865
greek,arabic,0.365292639494663
greek,bengali,0.5024319190446719
greek,chinese,0.3392304345264265
greek,english,0.4499846776250865
greek,german,0.5115202816693477
greek,greek,0.3681650388872967
greek,korean,0.4633091869379306
greek,portuguese,0.5060311869647593
greek,spanish,0.4439306411423637
greek,turkish,0.5226867836707851
korean,arabic,0.3642771663747724
korean,bengali,0.42833903387421984
korean,chinese,0.2764874776920941
korean,english,0.3027878110619812
korean,german,0.48500454649842223
korean,greek,0.2746740839638036
korean,korean,0.403881932634907
korean,portuguese,0.3396876447524237
korean,spanish,0.3115589471370324
korean,turkish,0.5035357889862556
portuguese,arabic,0.37153955604522276
portuguese,bengali,0.48586199388916734
portuguese,chinese,0.2921361734374485
portuguese,english,0.4224806236352911
portuguese,german,0.5033748152857752
portuguese,greek,0.4779024002349462
portuguese,korean,0.5107162755685072
portuguese,portuguese,0.5282650088063517
portuguese,spanish,0.4820478768340956
portuguese,turkish,0.5590775544837373
spanish,arabic,0.4076053263038004
spanish,bengali,0.40284433842657447
spanish,chinese,0.27956583251178824
spanish,english,0.3946515277465947
spanish,german,0.49932003617095466
spanish,greek,0.37310702337485546
spanish,korean,0.4606535590013596
spanish,portuguese,0.3314064408504299
spanish,spanish,0.37543380984970204
spanish,turkish,0.4845418503114508
turkish,arabic,0.3951398436884063
turkish,bengali,0.3334877397320908
turkish,chinese,0.2901903523222088
turkish,english,0.4112549035834389
turkish,german,0.4488325453875002
turkish,greek,0.2159262125959899
turkish,korean,0.39588421668376234
turkish,portuguese,0.27948049766703403
turkish,spanish,0.265008805278857
turkish,turkish,0.3946721825419218
