Adapter Culture,Test Culture,F1 Score
arabic,arabic,0.1142576947684026
arabic,bengali,0.43675429471497274
arabic,chinese,0.19620017322295408
arabic,english,0.3473119383221086
arabic,german,0.2798189707820927
arabic,greek,0.35991207347028176
arabic,korean,0.39304543305039097
arabic,portuguese,0.406152203448057
arabic,spanish,0.4057767906277748
arabic,turkish,0.2509980066946646
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",arabic,0.3590139455792251
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",bengali,0.34975893334404023
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",chinese,0.2042650795893911
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",english,0.23510768207838106
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",german,0.3894305640831942
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",greek,0.25445844319147504
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",korean,0.390558402088191
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",portuguese,0.30978892005373265
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",spanish,0.2733109542387669
"arabic,bengali,chinese,english,german,greek,korean,portuguese,spanish,turkish",turkish,0.4341324261331067
bengali,arabic,0.19002869516617985
bengali,bengali,0.49620376411440437
bengali,chinese,0.20631980126797356
bengali,english,0.33471281246977425
bengali,german,0.3903196415117772
bengali,greek,0.3580554308575111
bengali,korean,0.47701078381906425
bengali,portuguese,0.5065387525763152
bengali,spanish,0.4528048990493469
bengali,turkish,0.35937137101612854
chinese,arabic,0.3691376611823927
chinese,bengali,0.4984280289889347
chinese,chinese,0.20336492796417727
chinese,english,0.3182813935806737
chinese,german,0.4148630128100269
chinese,greek,0.41926077779544124
chinese,korean,0.45635359372094064
chinese,portuguese,0.4243583394576074
chinese,spanish,0.45786735975554066
chinese,turkish,0.5354703046258668
english,arabic,0.3892556746486225
english,bengali,0.28461091090336993
english,chinese,0.2767503656977083
english,english,0.21974391255831924
english,german,0.4393904011642668
english,greek,0.22108301261454683
english,korean,0.4051497905833406
english,portuguese,0.18411390741607175
english,spanish,0.24272710438371073
english,turkish,0.41328750207606646
german,arabic,0.2986562118536859
german,bengali,0.2670292479141358
german,chinese,0.22713551133162008
german,english,0.2479428638779713
german,german,0.30285251776117017
german,greek,0.35760703786388454
german,korean,0.40492729729777865
german,portuguese,0.1829513269034086
german,spanish,0.2217802451703654
german,turkish,0.32448780309711694
greek,arabic,0.37588586076812786
greek,bengali,0.4707692706832427
greek,chinese,0.2315083263566201
greek,english,0.35823965824532294
greek,german,0.42711789439682163
greek,greek,0.3487067918754254
greek,korean,0.4156100512819703
greek,portuguese,0.44052191893993503
greek,spanish,0.4434617761627189
greek,turkish,0.48540850536846497
korean,arabic,0.38724834231202504
korean,bengali,0.5133960961195507
korean,chinese,0.25133731785438973
korean,english,0.3207737702647034
korean,german,0.4254421289700998
korean,greek,0.31264514904942586
korean,korean,0.48624299074883653
korean,portuguese,0.34343277263107314
korean,spanish,0.3757123717838299
korean,turkish,0.4951305219826714
portuguese,arabic,0.23410029208160857
portuguese,bengali,0.5340951303183498
portuguese,chinese,0.20759567763555353
portuguese,english,0.43765906506093505
portuguese,german,0.42247166596094504
portuguese,greek,0.3587655409676418
portuguese,korean,0.4463436555774852
portuguese,portuguese,0.5227314777551673
portuguese,spanish,0.47800800374340147
portuguese,turkish,0.4451369567693445
spanish,arabic,0.12511418382708506
spanish,bengali,0.3642500724035189
spanish,chinese,0.19620017322295408
spanish,english,0.2606067225047885
spanish,german,0.348054165174832
spanish,greek,0.38964601138348554
spanish,korean,0.3894570661505223
spanish,portuguese,0.22817344925155236
spanish,spanish,0.2570597013122314
spanish,turkish,0.282675324622656
turkish,arabic,0.4146729364223816
turkish,bengali,0.43997177713106755
turkish,chinese,0.29275877866865097
turkish,english,0.31724740938241247
turkish,german,0.42410609323288373
turkish,greek,0.26531947658025246
turkish,korean,0.47744454053684454
turkish,portuguese,0.2512876000731258
turkish,spanish,0.36425399208919046
turkish,turkish,0.44922045821002643
